site,routerKey,routerValue,method,hostKey,cmdKey,cmdValue,requestPath,data,match
http://lg.as6453.net/bin/lg.cgi,router,gin-l78-tcore1,POST,addr,query,ping,http://lg.as6453.net//lg/,"{'query': 'trace', 'addr': '183.173.109.247', 'protocol': 'IPv4', 'router': 'gin-tv2-tcore1'}",True
https://www.iptp.net/ru_RU/iptp-tools/lg/,router,r0bc05bbttyjp,get,query,command,ping,https://www.iptp.net/ru_RU/iptp-tools/lg/,"{'command': 'trace', 'query': '', 'router': 'f445252ea09c', 'protocol': 'ipv4'}",True
https://ams.sharktech.net/looking-glass/,datacenter,ams,get,host,util,ping,https://ams.sharktech.net/looking-glass/#,"{'_token': 'cPAADlb03sDs9P3YU0nP3nnRSlV5Tg2iM9ggK87O', 'host': '', 'datacenter': 'ams', 'util': 'ping'}",True
http://us-lg.javapipe.com/,,,get,host,cmd,ping,http://us-lg.javapipe.com/ajax.php,"{'host': '', 'cmd': 'host'}",True
https://lg.rnv.net.br/index.php,router,ixbr_sp,get,query,command,ping,https://lg.rnv.net.br/,"{'command': 'ping', 'query': '', 'protocol': 'ipv4', 'router': 'rr01_di'}",True
https://baehost.com/es-int/looking-glass/,routers,router7,post,parameter,query,ping,https://baehost.com/es-int/looking-glass/execute.php,"{'token': '69d5704aacc4fb9f4859840312664976487336d0', 'parameter': '2402:f000:3:6801:891c:25a8:d450:ed1f', 'dontlook': '', 'routers': 'router1', 'query': 'bgp'}",True
http://lg.redeisp.com.br/,router,LINX (Multicast),POST,addr,query,ping,http://lg.redeisp.com.br//,"{'query': 'trace', 'addr': '', 'protocol': 'IPv4', 'router': 'router01.poa - Juniper'}",True
http://lg.rcn.net/lgform.cgi,router,Boston MA:cisco-xr,post,args,query,ping,http://lg.rcn.net/lg.cgi,"{'query': 'prefix', 'args': '', 'router': 'Allentown PA:cisco-xr'}",True
http://lg.telecom.kz/,,,get,a,q,ping,http://lg.telecom.kz//lg,"{'a': '183.173.109.247', 'r': 'akta', 'q': 'v4route'}",True
https://dedicatserver.ro/en/lg.php,router,example2,get,query,command,ping,https://dedicatserver.ro/en/,"{'command': 'ping', 'query': '183.173.109.247', 'time': '1638284418', 'protocol': 'ipv4', 'router': 'example1'}",True
https://lg.he.net/,routers[],core1.kbp1.he.net,post,ip,command,ping,https://lg.he.net//,"{'token': 'LSpzidCJJl5zV/YIJOEGCYfxbpNcjOiBp9K7DYL6MWVgUz0fCLxSDJy7JZvwDbjrykUuvlwYAHqr2jb+fI6V0A==', 'routers[]': 'core1.ist1.he.net', 'command': 'bgpsummary6', 'ip': '', 'raw': '1', 'afPref': 'preferV4'}",True
https://lg.atman.pl,query_location,basic_internet,post,query_target,query_type,ping,https://lg.atman.pl/api/query/,"{'query_location': '', 'query_target': '', 'query_type': 'ping', 'query_vrf': 'global'}",True
http://debby.sunrise.ch/lg,router,Hurricane Electric (AS6939),POST,addr,query,ping,http://debby.sunrise.ch//lg/,"{'query': 'trace', 'addr': '', 'protocol': 'IPv4', 'router': 'Sunrise Routeserver'}",True
http://lg.mitues.com,,,get,host,cmd,ping,http://lg.mitues.com/ajax.php,"{'host': '', 'cmd': 'host'}",True
http://lg.idilis.net/lg.cgi,router,bb1.idilis.net,POST,addr,query,ping,http://lg.idilis.net//lg.cgi,"{'query': 'trace', 'protocol': 'IPv4', 'addr': '', 'router': 'bb1.idilis.net'}",True
http://www.as8681.net/klg.php,server,uk.thn.tbr01,POST,args,action,ping,http://www.as8681.net/,"{'args': '183.173.109.247', 'server': 'route-views', 'action': ''}",True
http://lg.tpx.com/,routers,router4,post,parameter,query,ping,http://lg.tpx.com/execute.php,"{'parameter': '', 'dontlook': '', 'routers': 'router1', 'query': 'ping'}",True
https://www.iptp.net/zh_HK/iptp-tools/lg/,router,03949f332f,get,query,command,ping,https://www.iptp.net/zh_HK/iptp-tools/lg/,"{'command': 'trace', 'query': '', 'router': 'f445252ea09c', 'protocol': 'ipv4'}",True
https://lg.he.net/,routers[],core3.sao1.he.net,post,ip,command,ping,https://lg.he.net//,"{'token': 'LSpzidCJJl5zV/YIJOEGCYfxbpNcjOiBp9K7DYL6MWVgUz0fCLxSDJy7JZvwDbjrykUuvlwYAHqr2jb+fI6V0A==', 'routers[]': 'core1.ist1.he.net', 'command': 'bgpsummary6', 'ip': '', 'raw': '1', 'afPref': 'preferV4'}",True
https://lg.iptp.net/vi/iptp-tools/lg/,router,r0908dx1dwcae,get,query,command,ping,https://lg.iptp.net/vi/iptp-tools/lg/,"{'command': 'trace', 'query': '', 'router': 'f445252ea09c', 'protocol': 'ipv4'}",True
http://lg-dallas.serverhub.com/,,,get,host,cmd,ping,http://lg-dallas.serverhub.com/ajax.php,"{'host': '', 'cmd': 'host'}",True
http://hd.ncc.snt.ru/lg/,router,MTU,POST,addr,query,ping,http://hd.ncc.snt.ru//lg/,"{'query': 'trace', 'protocol': 'IPv4', 'addr': '', 'router': 'NSK-BR3'}",True
https://ssp2.gin.ntt.net/lg/looking_glass_web_gitRepo/lg.cgi,router,Madrid - ES,POST,addr,query,ping,https://ssp2.gin.ntt.net/lg/lg.cgi,"{'sourceIP': 'IP', 'addr': '', 'addrFQDN': '', 'protocol': 'IPv4', 'router': '0', 'query': '0'}",True
https://lg.iptp.net/zh_CN/iptp-tools/lg/,router,r0bc05bbttyjp,get,query,command,ping,https://lg.iptp.net/zh_CN/iptp-tools/lg/,"{'command': 'trace', 'query': '', 'router': 'f445252ea09c', 'protocol': 'ipv4'}",True
https://looking.house/action.php?mode=looking_glass&action=,id,125,post,domain,action,ping,https://looking.house/action.php?mode=looking_glass&action=,"{'action': 'ping', 'domain': '8.8.8.8', 'id': 579}",True
http://lg.conit.com.au/looking-glass/,routers,bdr101.eqsv1.us,post,parameter,query,ping,http://lg.conit.com.au/looking-glass/execute.php,"{'parameter': '', 'dontlook': '', 'routers': 'bdr101.m1.au', 'query': 'bgp'}",True
http://lg.traviangames.com/,,,get,host,cmd,ping,http://lg.traviangames.com/ajax.php,"{'host': '', 'cmd': 'host'}",True
https://lg.as47787.net/,,,get,host,cmd,ping,https://lg.as47787.net/ajax.php,"{'host': '', 'cmd': 'host'}",True
http://lg.rascom.ru/,router,spb-sel-cr1,POST,addr,query,ping,http://lg.rascom.ru//,"{'query': 'trace', 'addr': '', '64ad6d854dc3f62e49c2f5ac719c07c4': 'f7737b0445b920d4a64b336c4913f8ba', 'protocol': 'IPv4', 'router': 'msk-bor7-cr1'}",True
http://lg.as6453.net/bin/lg.cgi,router,gin-bu0-hcore1,POST,addr,query,ping,http://lg.as6453.net//lg/,"{'query': 'trace', 'addr': '183.173.109.247', 'protocol': 'IPv4', 'router': 'gin-tv2-tcore1'}",True
https://looking.house/action.php?mode=looking_glass&action=,id,462,post,domain,action,ping,https://looking.house/action.php?mode=looking_glass&action=,"{'action': 'ping', 'domain': '8.8.8.8', 'id': 579}",True
http://lg.kpi.ua/,router,SingTel/Optus (AS 7474),POST,addr,query,ping,http://lg.kpi.ua//,"{'query': 'trace', 'protocol': 'IPv4', 'addr': '', 'router': 'KPI routeserver (AS 25500)'}",True
https://www.iptp.net/ja/iptp-tools/lg/,router,63d09bf27f7c,get,query,command,ping,https://www.iptp.net/ja/iptp-tools/lg/,"{'command': 'trace', 'query': '', 'router': 'f445252ea09c', 'protocol': 'ipv4'}",True
https://looking.house/action.php?mode=looking_glass&action=,id,433,post,domain,action,ping,https://looking.house/action.php?mode=looking_glass&action=,"{'action': 'ping', 'domain': '8.8.8.8', 'id': 579}",True
https://looking.house/action.php?mode=looking_glass&action=,id,139,post,domain,action,ping,https://looking.house/action.php?mode=looking_glass&action=,"{'action': 'ping', 'domain': '8.8.8.8', 'id': 579}",True
http://41.75.80.114/lg,router,Hurricane Electric (AS 6939),POST,addr,query,ping,http://41.75.80.114//lg/,"{'query': 'trace', 'addr': '', 'protocol': 'IPv4', 'router': 'LAGOS_SAKA'}",True
http://168.194.119.245/,router,"Copenhagen/Virum (DK), DIX #2",POST,addr,query,ping,http://168.194.119.245//,"{'query': 'trace', 'addr': '', 'protocol': 'IPv4', 'router': 'router01.poa - Juniper'}",True
https://ssp2.gin.ntt.net/lg/lg-gums-demo.cgi,router,"Berlin, Germany",POST,addr,query,ping,https://ssp2.gin.ntt.net/lg/lg-gums-demo.cgi,"{'sourceIP': 'IP', 'addr': '', 'addrFQDN': '', 'protocol': 'IPv4', 'router': '0', 'query': '0'}",True
http://lg.as6453.net/bin/lg.cgi,router,gin-wyn-tcore1,POST,addr,query,ping,http://lg.as6453.net//lg/,"{'query': 'trace', 'addr': '183.173.109.247', 'protocol': 'IPv4', 'router': 'gin-tv2-tcore1'}",True
https://lg.flynet.pro/,,,get,host,cmd,ping,https://lg.flynet.pro/ajax.php,"{'host': '', 'cmd': 'host'}",True
http://lg.ngn.mainonecable.com/lg,router,"London (UK), LINX #1",POST,addr,query,ping,http://lg.ngn.mainonecable.com//lg/,"{'query': 'trace', 'addr': '', 'protocol': 'IPv4', 'router': 'LAGOS_SAKA'}",True
https://www.vpsag.com/looking-glass,,,get,host,command,ping,https://www.vpsag.com/looking-glass/ajax.php,"{'id': '5077b3c2891d537ec5bbdf904913334c', 'host': '', 'command': 'ping'}",True
http://lg2.iix.net.id/lg/,router,Router IPv6 IIX-JK2 CYBER,POST,addr,query,ping,http://lg2.iix.net.id//lg/,"{'query': 'trace', 'addr': '', 'protocol': 'IPv4', 'router': 'Router IIX-JK2 CYBER'}",True
https://www.gabix.ga/fr/lg,routers,,post,parameter,query,ping,https://www.gabix.ga//lg/execute.php,"{'query': 'bgp-summary-ipv6', 'parameter': '', 'routers': 'router1', 'dontlook': ''}",True
https://www.iptp.com/zh_CN/iptp-tools/lg/,router,7105b3bdf2b4,get,query,command,ping,https://www.iptp.com/zh_CN/iptp-tools/lg/,"{'command': 'trace', 'query': '', 'router': 'f445252ea09c', 'protocol': 'ipv4'}",True
https://looking.house/action.php?mode=looking_glass&action=,id,325,post,domain,action,ping,https://looking.house/action.php?mode=looking_glass&action=,"{'action': 'ping', 'domain': '8.8.8.8', 'id': 579}",True
http://hd.ncc.snt.ru/lg/,router,Hurricane Electric (AS 6939),POST,addr,query,ping,http://hd.ncc.snt.ru//lg/,"{'query': 'trace', 'protocol': 'IPv4', 'addr': '', 'router': 'NSK-BR3'}",True
http://aurora.on.tac.net/,router,"Copenhagen/Virum (DK), DIX #2",POST,addr,query,ping,http://aurora.on.tac.net//,"{'query': 'trace', 'addr': '', 'protocol': 'IPv4', 'router': 'TELUS_EAST_LG11'}",True
http://lg.as6453.net/lg/,router,gin-cxr-tcore1,POST,addr,query,ping,http://lg.as6453.net//lg/,"{'query': 'trace', 'addr': '183.173.109.247', 'protocol': 'IPv4', 'router': 'gin-aeq-tcore1'}",True
https://lg.clj.hosterion.com,,,get,host,cmd,ping,https://lg.clj.hosterion.com/ajax.php,"{'host': '', 'cmd': 'host'}",True
https://bgp.anexia-it.net,routers,dcr02.anx31.bue.ar,post,parameter,query,ping,https://bgp.anexia-it.net/execute.php,"{'parameter': '', 'dontlook': '', 'routers': 'dcr02.anx23.dxb.ae', 'query': 'bgp'}",True
https://www.iptp.com/zh_HK/iptp-tools/lg/,router,datamena.dubai,get,query,command,ping,https://www.iptp.com/zh_HK/iptp-tools/lg/,"{'command': 'trace', 'query': '', 'router': 'f445252ea09c', 'protocol': 'ipv4'}",True
http://lg.logteltelecom.com.br,router,BGP_MK_PATIO_BRASIL,get,query,command,ping,http://lg.logteltelecom.com.br/,"{'command': 'ping', 'query': '', 'protocol': 'ipv4', 'router': 'BGP_CORE_JUNIPER'}",True
https://lg.deft.com/,router,Amsterdam - Core 2,POST,addr,query,ping,https://lg.deft.com//,"{'query': 'trace-no-resolve', 'addr': '', 'protocol': 'IPv4', 'router': 'Chicago - Core 1'}",True
https://lookingglass.centurylink.com/,site_name,Honolulu-HI-USA,post,ip,category,ping,https://lookingglass.centurylink.com/,"{'category': 'bgp', 'ip': '', 'mask': '', 'site_name': 'CapeTown-SouthAfrica', 'packet_size': '64', 'packet_count': '1'}",True
http://noc.fregat.net/lg,router,Dnepropetrovsk,GET,addr,query,ping,http://noc.fregat.net//lg/,"{'query': 'trace', 'protocol': 'IPv4', 'addr': '', 'router': 'Dnepropetrovsk'}",True
https://lookingglass.centurylink.com/,site_name,Monaco,post,ip,category,ping,https://lookingglass.centurylink.com/,"{'category': 'bgp', 'ip': '', 'mask': '', 'site_name': 'CapeTown-SouthAfrica', 'packet_size': '64', 'packet_count': '1'}",True
https://lg.iptp.net/zh_HK/iptp-tools/lg/,router,f580379b163d,get,query,command,ping,https://lg.iptp.net/zh_HK/iptp-tools/lg/,"{'command': 'trace', 'query': '', 'router': 'f445252ea09c', 'protocol': 'ipv4'}",True
https://lg.pilotfiber.com,routers,router4,post,parameter,query,ping,https://lg.pilotfiber.com/execute.php,"{'parameter': '', 'dontlook': '', 'routers': 'router1', 'query': 'bgp'}",True
http://lg.telus.com,router,zebra,POST,addr,query,ping,http://lg.telus.com//,"{'query': 'trace', 'addr': '', 'protocol': 'IPv4', 'router': 'TELUS_EAST_LG11'}",True
https://www.iptp.com/zh_CN/iptp-tools/lg/,router,r0225ny4,get,query,command,ping,https://www.iptp.com/zh_CN/iptp-tools/lg/,"{'command': 'trace', 'query': '', 'router': 'f445252ea09c', 'protocol': 'ipv4'}",True
http://198.23.228.15/,,,get,host,cmd,ping,http://198.23.228.15/ajax.php,"{'host': '', 'cmd': 'host'}",True
http://lg.ngn.mainonecable.com/lg,router,GT Group Telecom (AS 6539),POST,addr,query,ping,http://lg.ngn.mainonecable.com//lg/,"{'query': 'trace', 'addr': '', 'protocol': 'IPv4', 'router': 'LAGOS_SAKA'}",True
https://gambadilegno.noc.seabone.net/lg/,router,LosAngeles,POST,addr,query,ping,https://gambadilegno.noc.seabone.net/lg/lg.cgi,"{'query': 'trace', 'addr': '', 'router': 'Amsterdam'}",True
http://lg.owentis.com,routers,router1,post,parameter,query,ping,http://lg.owentis.com/execute.php,"{'parameter': '', 'dontlook': '', 'routers': 'router1', 'query': 'bgp'}",True
http://85.14.44.15/,router,Border Router,post,searchfor,options,ping,http://85.14.44.15//,"{'iptype4': 'IPv4', 'iptype': 'IPv4', 'searchfor': '', 'options': 'ping', 'Execute': 'Execute', 'router': 'Core Router'}",True
https://ssp2.gin.ntt.net/lg/lg.cgi,router,S達o Paulo - BR,POST,addr,query,ping,https://ssp2.gin.ntt.net/lg/lg.cgi,"{'sourceIP': 'IP', 'addr': '', 'addrFQDN': '', 'protocol': 'IPv4', 'router': '0', 'query': '0'}",True
http://lg.tktelekom.pl,router,Krakow,POST,addr,query,ping,http://lg.tktelekom.pl//,"{'query': 'trace', 'addr': '', 'protocol': 'IPv4', 'router': 'Krakow'}",True
https://lg.rjo.g8.net.br,,,get,host,cmd,ping,https://lg.rjo.g8.net.br/ajax.php,"{'host': '', 'cmd': 'host'}",True
https://lg.rnv.net.br/,router,algar-as16735,get,query,command,ping,https://lg.rnv.net.br/,"{'command': 'ping', 'query': '', 'protocol': 'ipv4', 'router': 'rr01_di'}",True
http://lg.leaptel.com.au,,,get,host,cmd,ping,http://lg.leaptel.com.au/ajax.php,"{'host': '', 'cmd': 'host'}",True
https://lg.as43289.net,routers,router1,post,parameter,query,ping,https://lg.as43289.net/execute.php,"{'parameter': '', 'dontlook': '', 'routers': 'router1', 'query': 'bgp'}",True
http://lg.as6453.net/lg/,router,gin-f2c-thar1,POST,addr,query,ping,http://lg.as6453.net//lg/,"{'query': 'trace', 'addr': '183.173.109.247', 'protocol': 'IPv4', 'router': 'gin-aeq-tcore1'}",True
https://lg.netw.fr,routers,pa2-core-3,post,parameter,query,ping,https://lg.netw.fr/execute.php,"{'parameter': '', 'dontlook': '', 'routers': 'pa2-core-3', 'query': 'bgp'}",True
https://ssp2.gin.ntt.net/lg/looking_glass_web_gitRepo/lg.cgi,router,"Chicago, IL - US",POST,addr,query,ping,https://ssp2.gin.ntt.net/lg/lg.cgi,"{'sourceIP': 'IP', 'addr': '', 'addrFQDN': '', 'protocol': 'IPv4', 'router': '0', 'query': '0'}",True
http://191.6.164.201:8040/,router,NB,get,query,command,ping,http://191.6.164.201:8040/,"{'command': 'ping', 'query': '', 'protocol': 'ipv4', 'router': 'brascom'}",True
https://lg.iptp.net/zh_HK/iptp-tools/lg/,router,e17d0d895c01,get,query,command,ping,https://lg.iptp.net/zh_HK/iptp-tools/lg/,"{'command': 'trace', 'query': '', 'router': 'f445252ea09c', 'protocol': 'ipv4'}",True
https://lg.bhe.g8.net.br/,,,get,host,cmd,ping,https://lg.bhe.g8.net.br/ajax.php,"{'host': '', 'cmd': 'host'}",True
https://lg.rvr.in/,,,get,host,cmd,ping,https://lg.rvr.in/ajax.php,"{'host': '', 'cmd': 'host'}",True
https://metal.equinix.com/developers/looking-glass/,routers,SL1,post,parameter,query,ping,https://metal.equinix.com/developers/looking-glass/execute.php,"{'parameter': '', 'dontlook': '', 'routers': 'DC13', 'query': 'bgp'}",True
https://www.iptp.com/zh_HK/iptp-tools/lg/,router,r0309mi1miaus,get,query,command,ping,https://www.iptp.com/zh_HK/iptp-tools/lg/,"{'command': 'trace', 'query': '', 'router': 'f445252ea09c', 'protocol': 'ipv4'}",True
https://lg.ash.innoscale.net,,,get,host,cmd,ping,https://lg.ash.innoscale.net/ajax.php,"{'host': '', 'cmd': 'host'}",True
http://w38.gubo.org/LookingGlass/,,,get,host,cmd,ping,http://w38.gubo.org/LookingGlass/ajax.php,"{'host': '', 'cmd': 'host'}",True
https://lg.as203038.net,routers,router1,post,parameter,query,ping,https://lg.as203038.net/execute.php,"{'parameter': '', 'routers': 'router1', 'query': 'bgp'}",True
https://lg3.iix.net.id/,routers,router3,post,parameter,query,ping,https://lg3.iix.net.id/execute.php,"{'parameter': '183.173.109.247', 'dontlook': '', 'routers': 'router3', 'query': 'bgp'}",True
https://lg.iptp.net/zh_CN/iptp-tools/lg/,router,4b9b5972406f,get,query,command,ping,https://lg.iptp.net/zh_CN/iptp-tools/lg/,"{'command': 'trace', 'query': '', 'router': 'f445252ea09c', 'protocol': 'ipv4'}",True
https://flow.gipnetworks.com/lg/lg.cgi,router,VBGR1 AS54720 (Secondary),POST,addr,query,ping,https://flow.gipnetworks.com//lg/lg.cgi,"{'query': 'trace', 'addr': '', 'protocol': 'IPv4', 'router': 'BGR1 AS7819 (Primary)'}",True
http://lg.appnexus.com/,router,AMS1 - Amsterdam,POST,addr,query,ping,http://lg.appnexus.com//,"{'query': 'trace', 'protocol': 'IPv4', 'addr': '', 'router': 'NYM2 - New Jersey'}",True
http://www.as8304.eu/lg,router,"Telx, NYC, USA",POST,addr,query,ping,http://www.as8304.eu//lg,"{'query': 'trace', 'protocol': 'IPv4', 'addr': '', 'router': 'Digital Realty, PAR, FR'}",True
https://bgp.anexia-it.net,routers,dcr02.anx85.mnz.us,post,parameter,query,ping,https://bgp.anexia-it.net/execute.php,"{'parameter': '', 'dontlook': '', 'routers': 'dcr02.anx23.dxb.ae', 'query': 'bgp'}",True
http://lg.marwan.ma/,routers,router42,post,parameter,query,ping,http://lg.marwan.ma/execute.php,"{'parameter': '', 'dontlook': '', 'routers': 'router1', 'query': 'bgp'}",True
https://lg.is1net.net,router,pe1.mul.rek.is,POST,addr,query,ping,https://lg.is1net.net//,"{'query': 'trace', 'protocol': 'IPv4', 'addr': '', 'router': 'pe1.mul.rek.is'}",True
https://www.iptp.com/ja/iptp-tools/lg/,router,16031335b484,get,query,command,ping,https://www.iptp.com/ja/iptp-tools/lg/,"{'command': 'trace', 'query': '', 'router': 'f445252ea09c', 'protocol': 'ipv4'}",True
https://www.iptp.net/en_US/iptp-tools/lg/,router,r0309mi1miaus,get,query,command,ping,https://www.iptp.net/en_US/iptp-tools/lg/,"{'command': 'trace', 'query': '', 'router': 'f445252ea09c', 'protocol': 'ipv4'}",True
https://www.iptp.com/pt_PT/iptp-tools/lg/,router,9efdce37e359,get,query,command,ping,https://www.iptp.com/pt_PT/iptp-tools/lg/,"{'command': 'trace', 'query': '', 'router': 'f445252ea09c', 'protocol': 'ipv4'}",True
http://looking-glass.ii.net/lg/,router,"AS4739 - Perth, AU",POST,addr,query,ping,http://looking-glass.ii.net//lg.cgi,{'protocol': 'IPv4'},True
http://lg.ngn.mainonecable.com/lg,router,Exodus Communications - Asia Pacific,POST,addr,query,ping,http://lg.ngn.mainonecable.com//lg/,"{'query': 'trace', 'addr': '', 'protocol': 'IPv4', 'router': 'LAGOS_SAKA'}",True
https://lookingglass.centurylink.com/,site_name,Curitiba-Brazil,post,ip,category,ping,https://lookingglass.centurylink.com/,"{'category': 'bgp', 'ip': '', 'mask': '', 'site_name': 'CapeTown-SouthAfrica', 'packet_size': '64', 'packet_count': '1'}",True
http://103.88.47.47/,,,get,host,cmd,ping,http://103.88.47.47/ajax.php,"{'host': '', 'cmd': 'host'}",True
https://looking.house/action.php?mode=looking_glass&action=,id,523,post,domain,action,ping,https://looking.house/action.php?mode=looking_glass&action=,"{'action': 'ping', 'domain': '8.8.8.8', 'id': 579}",True
http://lg.as6453.net/bin/lg.cgi,router,gin-lrs-thar1,POST,addr,query,ping,http://lg.as6453.net//lg/,"{'query': 'trace', 'addr': '183.173.109.247', 'protocol': 'IPv4', 'router': 'gin-tv2-tcore1'}",True
http://lg.ensite.com.br,router,Sao Jose do Rio Preto (EDGE.SRR),POST,addr,query,ping,http://lg.ensite.com.br//lg/,"{'query': 'trace', 'protocol': 'IPv4', 'addr': '', 'router': 'Araçatuba (EDGE-A.ARC)'}",True
http://45.143.197.246/,,,get,host,cmd,ping,http://45.143.197.246/ajax.php,"{'host': '', 'cmd': 'host'}",True
https://www.nigsun.net/lg/,router,NCS1,get,query,command,ping,https://www.nigsun.net/lg/,"{'command': 'ping', 'query': '', 'protocol': 'ipv4', 'router': 'NCS1'}",True
https://www.iptp.net/ja/iptp-tools/lg/,router,c82f80927c6e,get,query,command,ping,https://www.iptp.net/ja/iptp-tools/lg/,"{'command': 'trace', 'query': '', 'router': 'f445252ea09c', 'protocol': 'ipv4'}",True
https://noc.i3d.net/looking-glass/,routers,uaiev1-rt001i,post,parameter,query,ping,https://noc.i3d.net/looking-glass/execute.php,"{'parameter': '', 'dontlook': '', 'routers': 'aedxb1-rt001i', 'query': 'bgp'}",True
http://lg-bg.isplevel.com,,,get,host,cmd,ping,http://lg-bg.isplevel.com/ajax.php,"{'host': '', 'cmd': 'host'}",True
http://lg.telus.com,router,Nodus Network,POST,addr,query,ping,http://lg.telus.com//,"{'query': 'trace', 'addr': '', 'protocol': 'IPv4', 'router': 'TELUS_EAST_LG11'}",True
https://www.posttechnologies.lu/de/operators/support/e-services/looking-glass,,,get,captcha,command,ping,https://www.posttechnologies.lu/de/operators/support/e-services/looking-glass/,"{'command': 'bgpneighbor', 'captcha': ''}",True
http://www.as8681.net/klg.php,server,uk.the.pbr01,POST,args,action,ping,http://www.as8681.net/,"{'args': '183.173.109.247', 'server': 'route-views', 'action': ''}",True
